2024-04-03 10:05:39.7521 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7185/swagger/index.html - -
2024-04-03 10:05:40.3155 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7185/swagger/index.html - - - 200 - text/html;charset=utf-8 570.5001ms
2024-04-03 10:05:40.9118 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7185/_framework/aspnetcore-browser-refresh.js - -
2024-04-03 10:05:40.9118 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7185/_vs/browserLink - -
2024-04-03 10:05:40.9258 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7185/_framework/aspnetcore-browser-refresh.js - - - 200 11984 application/javascript;+charset=utf-8 13.3690ms
2024-04-03 10:05:40.9436 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7185/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 40.2735ms
2024-04-03 10:05:41.0943 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7185/swagger/v1/swagger.json - -
2024-04-03 10:05:41.2532 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7185/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 158.8050ms
2024-04-03 10:05:48.5513 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 DELETE https://localhost:7185/api/CLStationary/DeleteItem?id=1 - -
2024-04-03 10:05:48.5970 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Logging.Controllers.CLStationary.DeleteItem (Logging)'
2024-04-03 10:05:48.6225 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "DeleteItem", controller = "CLStationary"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult DeleteItem(Int32) on controller Logging.Controllers.CLStationary (Logging).
2024-04-03 10:05:48.6743 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Logging.Controllers.CLStationary.DeleteItem (Logging) - Validation state: Valid
2024-04-03 10:05:54.2986 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action method Logging.Controllers.CLStationary.DeleteItem (Logging), returned result Microsoft.AspNetCore.Mvc.OkObjectResult in 5610.5095ms.
2024-04-03 10:05:54.2989 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor | Executing OkObjectResult, writing value of type 'Logging.Models.RES01'.
2024-04-03 10:05:57.2881 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed action Logging.Controllers.CLStationary.DeleteItem (Logging) in 8657.8497ms
2024-04-03 10:05:57.2881 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Logging.Controllers.CLStationary.DeleteItem (Logging)'
2024-04-03 10:05:57.2881 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 DELETE https://localhost:7185/api/CLStationary/DeleteItem?id=1 - - - 200 151 application/json;+charset=utf-8 8741.8261ms
2024-04-03 10:06:48.7042 | INFO | Program | Hello
