2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-10 17:24:19.8755 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-10 17:24:20.0048 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-10 17:24:20.0048 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-10 17:24:20.0048 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-10 17:24:20.3937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-10 17:24:20.3937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending DATA frame for stream ID 1 with length 6429 and flags NONE.
2024-04-10 17:24:20.3937 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-10 17:24:20.3956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUS" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received HEADERS frame for stream ID 1 with length 485 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-10 17:30:10.4346 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-10 17:30:10.4511 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received HEADERS frame for stream ID 3 with length 68 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-04-10 17:30:10.4651 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-10 17:30:10.4814 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2PAIV3LAUT" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
