2024-04-26 15:08:06.8737 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 15:08:06.9779 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 15:08:08.0217 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-04-26 15:08:09.5756 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-04-26 15:08:09.6007 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q1" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" received HEADERS frame for stream ID 1 with length 369 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" received HEADERS frame for stream ID 3 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 15:08:10.7167 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-26 15:08:10.7251 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-26 15:08:10.7488 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending HEADERS frame for stream ID 1 with length 98 and flags END_HEADERS.
2024-04-26 15:08:10.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending DATA frame for stream ID 1 with length 11990 and flags NONE.
2024-04-26 15:08:10.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-26 15:08:10.8581 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending HEADERS frame for stream ID 3 with length 119 and flags END_HEADERS.
2024-04-26 15:08:10.8581 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN35QI85J5Q2" sending DATA frame for stream ID 3 with length 9986 and flags NONE.
