2024-05-01 09:37:29.1448 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLBIL01Controller.ShareBill (BillingAPI) with arguments (1)
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-01 09:37:32.7655 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-05-01 09:37:32.7707 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-05-01 09:37:32.7707 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending DATA frame for stream ID 1 with length 60 and flags NONE.
2024-05-01 09:37:32.7707 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-05-01 09:37:32.7707 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-01 09:37:32.7707 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-05-01 09:37:32.7931 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-01 09:37:32.8062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-05-01 09:37:32.8062 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN39IGFHS6SO" received WINDOW_UPDATE frame for stream ID 1 with length 4 and flags 0x0.
