2024-04-30 09:36:20.4847 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 7 with length 13605 and flags NONE.
2024-04-30 09:36:20.4847 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRG" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received HEADERS frame for stream ID 1 with length 404 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN38PBGS6NRH" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-30 09:37:19.3022 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-30 09:37:19.3959 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-30 09:37:21.5519 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
2024-04-30 09:37:21.5519 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-30 09:37:21.7299 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-04-30 09:37:21.7613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-30 09:37:21.7613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-30 09:37:21.7613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-30 09:37:21.7613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-30 09:37:21.7771 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLBIL01Controller.ShareBill (BillingAPI) with arguments (1)
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-30 09:37:46.3019 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
