2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-22 17:21:35.6250 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-22 17:21:35.9151 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-22 17:21:35.9491 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-22 17:21:35.9491 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-22 17:21:37.4709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-22 17:21:37.4709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending DATA frame for stream ID 1 with length 6429 and flags NONE.
2024-04-22 17:21:37.4709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-22 17:21:37.4811 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN32O9V5IN9Q" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
