2024-04-12 09:32:44.3774 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-12 09:32:44.3774 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-12 09:32:44.3774 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-12 09:32:44.3913 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLBIL01Controller.GetBill (BillingAPI) with arguments (4)
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-12 09:32:44.6137 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-12 09:32:44.6971 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-04-12 09:32:44.6971 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-12 09:32:44.6971 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-04-12 09:32:44.8527 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-04-12 09:32:44.8527 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending DATA frame for stream ID 1 with length 6429 and flags NONE.
2024-04-12 09:32:44.8527 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGM" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-04-12 09:34:53.8200 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2QKLDT5LGN" received HEADERS frame for stream ID 1 with length 485 and flags END_STREAM, END_HEADERS, PRIORITY.
