2024-05-24 11:36:12.8283 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-05-24 11:36:12.8950 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:36:13.2943 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 1024 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 992 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 65 and flags NONE.
2024-05-24 11:36:13.5956 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 16 and flags NONE.
2024-05-24 11:36:13.6207 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-05-24 11:36:14.2702 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-24 11:36:14.2762 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-05-24 11:36:14.2762 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:36:14.2762 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-05-24 11:36:14.2973 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-05-24 11:36:14.3092 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RMUDUFPL5" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS.
