2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" received HEADERS frame for stream ID 1 with length 419 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:45:21.9593 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:45:22.1021 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-10 09:45:22.1021 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-10 09:45:22.1021 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-10 09:45:22.1021 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-10 09:45:22.1021 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method BillingAPI.Controllers.CLLogin.GenerateToken (BillingAPI) with arguments (krinsi, 123)
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-10 09:45:24.7819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Before executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending DATA frame for stream ID 1 with length 209 and flags NONE.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | After executing action result Microsoft.AspNetCore.Mvc.OkObjectResult.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: Before executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Result Filter: After executing OnResultExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter.
2024-06-10 09:45:24.7877 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMR" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" received HEADERS frame for stream ID 1 with length 545 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN490F5PHPMS" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-06-10 09:45:44.7613 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-06-10 09:45:44.9488 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
2024-06-10 09:45:44.9488 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
