2024-04-18 12:24:27.4315 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY.
2024-04-18 12:24:27.4385 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-18 12:24:27.4385 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
2024-04-18 12:24:27.4545 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS.
2024-04-18 12:24:27.4545 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 3 with length 11990 and flags NONE.
2024-04-18 12:24:27.4545 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 9986 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2024-04-18 12:24:27.4908 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2VEHGTSVS2" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
