224-04-05 12:17:26.9630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKN" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
224-04-05 12:17:26.9630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKN" sending DATA frame for stream ID 1 with length 1912 and flags NONE.
224-04-05 12:17:26.9630 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKN" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
224-04-05 12:17:26.9856 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKN" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received SETTINGS frame for stream ID 0 with length 24 and flags NONE.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received HEADERS frame for stream ID 1 with length 371 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received SETTINGS frame for stream ID 0 with length 0 and flags ACK.
224-04-05 12:17:51.2859 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
224-04-05 12:2:16.1819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
224-04-05 12:2:16.1819 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
224-04-05 12:2:54.5921 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending HEADERS frame for stream ID 1 with length 68 and flags END_HEADERS.
224-04-05 12:2:54.5921 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending DATA frame for stream ID 1 with length 1912 and flags NONE.
224-04-05 12:2:54.5925 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM.
224-04-05 12:2:54.7447 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:2:59.6307 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received HEADERS frame for stream ID 3 with length 37 and flags END_STREAM, END_HEADERS, PRIORITY.
224-04-05 12:2:59.6307 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed.
224-04-05 12:2:59.6307 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
224-04-05 12:21:02.8352 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: After executing OnAuthorization on filter BillingAPI.Filters.AuthenticationFilter.
224-04-05 12:21:02.8352 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Authorization Filter: Before executing OnAuthorization on filter BillingAPI.Filters.AuthorizationFilter.
224-04-05 12:21:08.5233 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending HEADERS frame for stream ID 3 with length 34 and flags END_HEADERS.
224-04-05 12:21:08.5233 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending DATA frame for stream ID 3 with length 1912 and flags NONE.
224-04-05 12:21:08.5233 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM.
224-04-05 12:21:08.5233 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0.
224-04-05 12:21:10.9025 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2L7G996UKO" received HEADERS frame for stream ID 5 with length 37 and flags END_STREAM, END_HEADERS, PRIORITY.
