224-04-04 16:43:33.4380 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4380 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4380 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 9 with length 0 and flags END_STREAM.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending HEADERS frame for stream ID 13 with length 119 and flags END_HEADERS.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 9986 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4531 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
224-04-04 16:43:33.4705 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2KJ10QM0QC" sending DATA frame for stream ID 13 with length 10240 and flags NONE.
